Consumption (kwh), Start, End
0.001000, 2025-10-09T11:30:00+01:00, 2025-10-09T12:00:00+01:00
0.579000, 2025-10-09T12:00:00+01:00, 2025-10-09T12:30:00+01:00
0.509000, 2025-10-09T12:30:00+01:00, 2025-10-09T13:00:00+01:00
0.656000, 2025-10-09T13:00:00+01:00, 2025-10-09T13:30:00+01:00
0.667000, 2025-10-09T13:30:00+01:00, 2025-10-09T14:00:00+01:00
0.638000, 2025-10-09T14:00:00+01:00, 2025-10-09T14:30:00+01:00
0.655000, 2025-10-09T14:30:00+01:00, 2025-10-09T15:00:00+01:00
0.760000, 2025-10-09T15:00:00+01:00, 2025-10-09T15:30:00+01:00
0.683000, 2025-10-09T15:30:00+01:00, 2025-10-09T16:00:00+01:00
0.690000, 2025-10-09T16:00:00+01:00, 2025-10-09T16:30:00+01:00
0.638000, 2025-10-09T16:30:00+01:00, 2025-10-09T17:00:00+01:00
0.697000, 2025-10-09T17:00:00+01:00, 2025-10-09T17:30:00+01:00
0.712000, 2025-10-09T17:30:00+01:00, 2025-10-09T18:00:00+01:00
0.711000, 2025-10-09T18:00:00+01:00, 2025-10-09T18:30:00+01:00
0.740000, 2025-10-09T18:30:00+01:00, 2025-10-09T19:00:00+01:00
0.652000, 2025-10-09T19:00:00+01:00, 2025-10-09T19:30:00+01:00
1.362000, 2025-10-09T19:30:00+01:00, 2025-10-09T20:00:00+01:00
0.715000, 2025-10-09T20:00:00+01:00, 2025-10-09T20:30:00+01:00
0.710000, 2025-10-09T20:30:00+01:00, 2025-10-09T21:00:00+01:00
1.324000, 2025-10-09T21:00:00+01:00, 2025-10-09T21:30:00+01:00
0.701000, 2025-10-09T21:30:00+01:00, 2025-10-09T22:00:00+01:00
0.639000, 2025-10-09T22:00:00+01:00, 2025-10-09T22:30:00+01:00
0.675000, 2025-10-09T22:30:00+01:00, 2025-10-09T23:00:00+01:00
0.690000, 2025-10-09T23:00:00+01:00, 2025-10-09T23:30:00+01:00
0.635000, 2025-10-09T23:30:00+01:00, 2025-10-10T00:00:00+01:00
0.562000, 2025-10-10T00:00:00+01:00, 2025-10-10T00:30:00+01:00
0.595000, 2025-10-10T00:30:00+01:00, 2025-10-10T01:00:00+01:00
0.655000, 2025-10-10T01:00:00+01:00, 2025-10-10T01:30:00+01:00
0.616000, 2025-10-10T01:30:00+01:00, 2025-10-10T02:00:00+01:00
0.955000, 2025-10-10T02:00:00+01:00, 2025-10-10T02:30:00+01:00
0.669000, 2025-10-10T02:30:00+01:00, 2025-10-10T03:00:00+01:00
1.098000, 2025-10-10T03:00:00+01:00, 2025-10-10T03:30:00+01:00
0.565000, 2025-10-10T03:30:00+01:00, 2025-10-10T04:00:00+01:00
0.521000, 2025-10-10T04:00:00+01:00, 2025-10-10T04:30:00+01:00
0.510000, 2025-10-10T04:30:00+01:00, 2025-10-10T05:00:00+01:00
0.526000, 2025-10-10T05:00:00+01:00, 2025-10-10T05:30:00+01:00
0.506000, 2025-10-10T05:30:00+01:00, 2025-10-10T06:00:00+01:00
0.504000, 2025-10-10T06:00:00+01:00, 2025-10-10T06:30:00+01:00
0.519000, 2025-10-10T06:30:00+01:00, 2025-10-10T07:00:00+01:00
0.511000, 2025-10-10T07:00:00+01:00, 2025-10-10T07:30:00+01:00
0.497000, 2025-10-10T07:30:00+01:00, 2025-10-10T08:00:00+01:00
0.514000, 2025-10-10T08:00:00+01:00, 2025-10-10T08:30:00+01:00
0.673000, 2025-10-10T08:30:00+01:00, 2025-10-10T09:00:00+01:00
0.380000, 2025-10-10T09:00:00+01:00, 2025-10-10T09:30:00+01:00
0.521000, 2025-10-10T09:30:00+01:00, 2025-10-10T10:00:00+01:00
0.613000, 2025-10-10T10:00:00+01:00, 2025-10-10T10:30:00+01:00
0.581000, 2025-10-10T10:30:00+01:00, 2025-10-10T11:00:00+01:00
0.569000, 2025-10-10T11:00:00+01:00, 2025-10-10T11:30:00+01:00
0.603000, 2025-10-10T11:30:00+01:00, 2025-10-10T12:00:00+01:00
0.569000, 2025-10-10T12:00:00+01:00, 2025-10-10T12:30:00+01:00
0.570000, 2025-10-10T12:30:00+01:00, 2025-10-10T13:00:00+01:00
0.557000, 2025-10-10T13:00:00+01:00, 2025-10-10T13:30:00+01:00
0.613000, 2025-10-10T13:30:00+01:00, 2025-10-10T14:00:00+01:00
0.773000, 2025-10-10T14:00:00+01:00, 2025-10-10T14:30:00+01:00
0.822000, 2025-10-10T14:30:00+01:00, 2025-10-10T15:00:00+01:00
0.778000, 2025-10-10T15:00:00+01:00, 2025-10-10T15:30:00+01:00
0.865000, 2025-10-10T15:30:00+01:00, 2025-10-10T16:00:00+01:00
0.766000, 2025-10-10T16:00:00+01:00, 2025-10-10T16:30:00+01:00
0.668000, 2025-10-10T16:30:00+01:00, 2025-10-10T17:00:00+01:00
0.773000, 2025-10-10T17:00:00+01:00, 2025-10-10T17:30:00+01:00
0.786000, 2025-10-10T17:30:00+01:00, 2025-10-10T18:00:00+01:00
0.808000, 2025-10-10T18:00:00+01:00, 2025-10-10T18:30:00+01:00
0.680000, 2025-10-10T18:30:00+01:00, 2025-10-10T19:00:00+01:00
0.530000, 2025-10-10T19:00:00+01:00, 2025-10-10T19:30:00+01:00
0.456000, 2025-10-10T19:30:00+01:00, 2025-10-10T20:00:00+01:00
0.459000, 2025-10-10T20:00:00+01:00, 2025-10-10T20:30:00+01:00
0.581000, 2025-10-10T20:30:00+01:00, 2025-10-10T21:00:00+01:00
0.641000, 2025-10-10T21:00:00+01:00, 2025-10-10T21:30:00+01:00
0.663000, 2025-10-10T21:30:00+01:00, 2025-10-10T22:00:00+01:00
0.503000, 2025-10-10T22:00:00+01:00, 2025-10-10T22:30:00+01:00
